provider_id,total_claims,unique_patients,avg_allowed,avg_paid,total_paid,readmission_rate,er_visit_rate,preventive_rate,cost_per_member,specialty,region,network_tier,accepts_value_based,avg_allowed_bench,cost_per_member_bench,readmission_rate_bench,er_visit_rate_bench,cost_score,utilization_score,er_score,hedis_composite_score,patient_satisfaction,care_coordination_score,quality_score,satisfaction_score,coordination_score,composite_score,value_tier
PROV0001,621,577,2627.079420289855,2183.8876650563607,1356194.24,0.1320450885668277,0.18679549114331723,0.34299516908212563,2350.4232928942806,General Surgery,Northeast,2,0,3324.599622295972,2920.8058239377624,0.12062394997282286,0.1777994565169072,71.0,0.0,0.0,0.914,0.785,0.912,91.4,78.5,91.2,65.0,Moderate Value
PROV0002,610,576,2547.4432459016393,2096.3457540983604,1278770.91,0.12295081967213115,0.17049180327868851,0.34098360655737703,2220.0883854166664,Primary Care,Midwest,1,0,3600.0565553206757,3179.238580588948,0.11786603098337428,0.18114632356905983,79.2,0.0,5.9,0.883,0.859,0.861,88.3,85.9,86.1,67.3,Moderate Value
PROV0003,631,596,2770.8066877971473,2271.763264659271,1433482.62,0.10142630744849446,0.19334389857369255,0.36608557844690964,2405.172181208054,Cardiology,Southeast,1,0,3450.6783702397765,3028.1521673011594,0.12064089873745697,0.1839299023683813,69.7,15.9,0.0,0.836,0.736,0.908,83.6,73.6,90.8,65.1,Moderate Value
PROV0004,645,612,3005.326511627907,2488.185968992248,1604879.95,0.12558139534883722,0.20465116279069767,0.3627906976744186,2622.352859477124,Cardiology,Northeast,2,1,3450.6783702397765,3028.1521673011594,0.12064089873745697,0.1839299023683813,62.9,0.0,0.0,0.764,0.749,0.81,76.4,74.9,81.0,57.3,Moderate Value
PROV0005,616,574,3234.3086850649347,2678.709853896104,1650085.27,0.11201298701298701,0.18181818181818182,0.33116883116883117,2874.713013937282,General Surgery,West,2,1,3324.599622295972,2920.8058239377624,0.12062394997282286,0.1777994565169072,52.7,7.1,0.0,0.887,0.761,0.812,88.7,76.1,81.2,58.9,Moderate Value
PROV0006,627,575,3353.4671770334926,2775.1625039872406,1740026.89,0.12759170653907495,0.18819776714513556,0.3397129186602871,3026.13372173913,Primary Care,West,2,0,3600.0565553206757,3179.238580588948,0.11786603098337428,0.18114632356905983,56.8,0.0,0.0,0.763,0.75,0.86,76.3,75.0,86.0,56.0,Moderate Value
PROV0007,613,582,2466.969575856444,2021.1679934747144,1238975.98,0.11419249592169657,0.20880913539967375,0.33442088091353994,2128.82470790378,Oncology,Northeast,1,0,3271.811905882366,2862.034811555533,0.11870871443505193,0.18156815630475445,74.6,3.8,0.0,0.947,0.75,0.857,94.7,75.0,85.7,66.6,Moderate Value
PROV0008,567,537,4558.816631393298,3806.2835978835974,2158162.8,0.1111111111111111,0.18518518518518517,0.36507936507936506,4018.925139664804,Primary Care,Northeast,3,1,3600.0565553206757,3179.238580588948,0.11786603098337428,0.18114632356905983,23.4,5.7,0.0,0.458,0.493,0.511,45.8,49.3,51.1,32.1,Low Value
PROV0009,636,594,3244.4646540880503,2673.4982704402514,1700344.9,0.13679245283018868,0.19025157232704404,0.35062893081761004,2862.5335016835015,Cardiology,Southeast,2,0,3450.6783702397765,3028.1521673011594,0.12064089873745697,0.1839299023683813,56.0,0.0,0.0,0.759,0.754,0.857,75.9,75.4,85.7,55.7,Moderate Value
PROV0010,598,559,3389.978662207358,2787.8463043478264,1667132.09,0.10367892976588629,0.1806020066889632,0.32608695652173914,2982.3472093023256,Neurology,West,2,1,3660.232703390457,3218.502474046171,0.11596625862404224,0.1817311502942768,57.4,10.6,0.6,0.799,0.691,0.868,79.9,69.1,86.8,58.4,Moderate Value
PROV0011,668,625,4593.433712574851,3800.687245508982,2538859.08,0.09131736526946108,0.1721556886227545,0.3473053892215569,4062.174528,Primary Care,West,3,1,3600.0565553206757,3179.238580588948,0.11786603098337428,0.18114632356905983,22.4,22.5,5.0,0.598,0.574,0.643,59.8,57.4,64.3,41.2,Low Value
PROV0012,631,602,3230.5026624405705,2665.676434231379,1682041.83,0.12044374009508717,0.19175911251980982,0.3676703645007924,2794.089418604651,Cardiology,West,2,1,3450.6783702397765,3028.1521673011594,0.12064089873745697,0.1839299023683813,56.4,0.2,0.0,0.833,0.777,0.855,83.3,77.7,85.5,58.0,Moderate Value
PROV0013,608,563,2786.7259539473685,2278.548766447368,1385357.65,0.12171052631578948,0.20394736842105263,0.3503289473684211,2460.670781527531,Oncology,Southeast,1,1,3271.811905882366,2862.034811555533,0.11870871443505193,0.18156815630475445,64.8,0.0,0.0,0.95,0.878,0.933,95.0,87.8,93.3,65.7,Moderate Value
PROV0014,606,575,2777.4326567656763,2287.3586303630364,1386139.33,0.1419141914191419,0.16336633663366337,0.34983498349834985,2410.677095652174,Oncology,West,1,0,3271.811905882366,2862.034811555533,0.11870871443505193,0.18156815630475445,65.1,0.0,10.0,0.923,1.0,1.0,92.3,100.0,100.0,67.6,Moderate Value
