provider_id,total_claims,readmission_rate,er_visit_rate,preventive_care_rate,avg_allowed_amount,avg_paid_amount,total_paid_amount,avg_los_days,hedis_composite_score,patient_satisfaction,care_coordination_score,generic_rx_rate
PROV0001,621,0.132,0.1868,0.343,2627.08,2183.89,1356194.24,0.929,0.914,0.785,0.912,0.879
PROV0002,610,0.123,0.1705,0.341,2547.44,2096.35,1278770.91,1.059,0.883,0.859,0.861,0.75
PROV0003,631,0.1014,0.1933,0.3661,2770.81,2271.76,1433482.62,0.979,0.836,0.736,0.908,0.723
PROV0004,645,0.1256,0.2047,0.3628,3005.33,2488.19,1604879.95,0.961,0.764,0.749,0.81,0.635
PROV0005,616,0.112,0.1818,0.3312,3234.31,2678.71,1650085.27,0.966,0.887,0.761,0.812,0.868
PROV0006,627,0.1276,0.1882,0.3397,3353.47,2775.16,1740026.89,1.0,0.763,0.75,0.86,0.755
PROV0007,613,0.1142,0.2088,0.3344,2466.97,2021.17,1238975.98,0.876,0.947,0.75,0.857,0.799
PROV0008,567,0.1111,0.1852,0.3651,4558.82,3806.28,2158162.8,0.972,0.458,0.493,0.511,0.554
PROV0009,636,0.1368,0.1903,0.3506,3244.46,2673.5,1700344.9,1.017,0.759,0.754,0.857,0.761
PROV0010,598,0.1037,0.1806,0.3261,3389.98,2787.85,1667132.09,0.886,0.799,0.691,0.868,0.642
PROV0011,668,0.0913,0.1722,0.3473,4593.43,3800.69,2538859.08,0.897,0.598,0.574,0.643,0.565
PROV0012,631,0.1204,0.1918,0.3677,3230.5,2665.68,1682041.83,0.927,0.833,0.777,0.855,0.819
PROV0013,608,0.1217,0.2039,0.3503,2786.73,2278.55,1385357.65,0.951,0.95,0.878,0.933,0.726
PROV0014,606,0.1419,0.1634,0.3498,2777.43,2287.36,1386139.33,1.038,0.923,1.0,1.0,0.713
PROV0015,577,0.1213,0.175,0.3293,3380.68,2792.77,1611427.47,0.917,0.702,0.581,0.649,0.784
PROV0016,620,0.121,0.1774,0.3468,3134.47,2568.59,1592527.57,1.016,0.795,0.73,0.85,0.564
PROV0017,628,0.1226,0.1911,0.3248,3246.59,2698.31,1694537.46,0.884,0.775,0.648,0.79,0.845
PROV0018,624,0.1074,0.2131,0.3542,3459.41,2814.14,1756023.28,0.832,0.893,0.863,0.929,0.594
PROV0019,603,0.1144,0.1791,0.3532,2864.64,2349.53,1416768.92,0.939,0.919,0.813,0.963,0.724
PROV0020,639,0.1205,0.1706,0.3427,3551.98,2938.8,1877895.05,0.95,0.74,0.77,0.764,0.626
PROV0021,633,0.109,0.1754,0.3776,4147.78,3420.74,2165326.28,1.009,0.536,0.576,0.522,0.742
PROV0022,623,0.1156,0.1814,0.3403,3948.73,3283.62,2045692.32,0.881,0.671,0.635,0.673,0.916
PROV0023,626,0.1102,0.1853,0.361,2824.18,2344.64,1467742.4,0.946,0.85,0.801,0.951,0.658
PROV0024,626,0.123,0.1869,0.3403,3135.59,2576.2,1612703.68,0.974,0.673,0.695,0.678,0.68
PROV0025,604,0.1175,0.1556,0.3411,3475.63,2850.15,1721488.1,0.988,0.886,0.883,0.968,0.613
PROV0026,629,0.1145,0.1892,0.3021,2714.01,2251.71,1416325.79,1.075,0.798,0.823,0.841,0.895
PROV0027,649,0.1371,0.1495,0.3251,3365.75,2784.98,1807455.02,0.986,0.762,0.732,0.771,0.727
PROV0028,643,0.1166,0.1726,0.3188,2549.54,2096.02,1347742.5,1.0,0.94,0.769,0.908,0.774
PROV0029,611,0.1293,0.1931,0.3584,4646.58,3844.14,2348769.33,1.002,0.703,0.625,0.64,0.773
PROV0030,607,0.1269,0.1796,0.3295,4372.78,3645.2,2212634.38,0.843,0.692,0.658,0.644,0.894
PROV0031,604,0.1175,0.1904,0.346,2488.82,2042.67,1233775.15,0.904,0.889,0.851,0.928,0.724
PROV0032,630,0.1317,0.1635,0.3159,3518.12,2909.66,1833082.8,1.049,0.612,0.55,0.743,0.942
PROV0033,615,0.1089,0.174,0.3707,3834.01,3173.06,1951433.25,0.902,0.568,0.56,0.583,0.742
PROV0034,629,0.1192,0.1844,0.3529,3489.77,2865.65,1802495.95,0.922,0.752,0.792,0.806,0.615
PROV0035,672,0.122,0.1756,0.3557,4525.58,3736.44,2510889.23,0.94,0.711,0.64,0.714,0.698
PROV0036,632,0.1313,0.1835,0.3228,3553.64,2916.27,1843080.3,0.905,0.69,0.626,0.748,0.94
PROV0037,633,0.0948,0.1912,0.3539,2999.46,2491.17,1576912.46,0.902,0.778,0.825,0.854,0.887
PROV0038,624,0.1346,0.1747,0.3654,3298.61,2698.1,1683611.68,0.949,0.678,0.592,0.669,0.669
PROV0039,640,0.1312,0.15,0.3672,3394.46,2805.66,1795620.21,0.97,0.751,0.659,0.781,0.76
PROV0040,651,0.1045,0.1859,0.3594,3451.33,2836.97,1846866.59,0.9,0.977,0.943,0.974,0.562
PROV0041,622,0.1158,0.1913,0.3521,2730.96,2269.7,1411755.48,0.995,0.848,0.777,0.953,0.714
PROV0042,682,0.1026,0.1701,0.3651,3479.53,2896.75,1975582.43,0.927,0.772,0.649,0.78,0.718
PROV0043,601,0.1082,0.1697,0.3561,3220.62,2668.47,1603752.69,0.945,0.608,0.657,0.631,0.754
PROV0044,658,0.1261,0.1824,0.3663,4963.8,4105.45,2701384.59,0.974,0.546,0.628,0.625,0.926
